Comentarios,Categoria
SI ME QUEREIS MANDAR UN MENSAJE PERSONAL AQUÍ OS CONTESTO -> https://www.instagram.com/arturolorenzo10,Lifestyle_(sociology) Food 
"Simplemente exquisito!
Se notó que les gustaron tus manjares
Espero se lo hayan pasado de perlas 
Saludos MAJO!",Lifestyle_(sociology) Food 
Que rico se ve todo!!!!,Lifestyle_(sociology) Food 
"Te ha quedado bien, y que bueno que le ha gustado a tus invitados y buen provecho! Y me ha encantado eso de acepta la gordura como forma de vida ,me hace gracia 🤣",Lifestyle_(sociology) Food 
lo texmex es mexicano con ingredientes gringos,Lifestyle_(sociology) Food 
"Los nachos son 100% mexicanos, son muy reconocidos a nivel internacional y piensan que son comida Tex Mex, pero en realidad son mexicanos, del norte para ser exactos",Lifestyle_(sociology) Food 
"Hola, Arturo! Para todos los mexicanos que piensan que los nachos son tex-mex solo porque en Gringolandia los han vuelto favoritos y los comercializan por todos lados, pues no, su origen es netamente mexicano, de Piedras Negras, Coahuila, en el norte de México...copio link de info....son tan mexicanos como los burritos y la flor de nochebuena que conocen como de pascua o poinssetia, que fue sustraída por un ex embajador gringo que además se atrevió a patentarla con su apellido...menos mal que el hurto y apropiación indebida es tema conocido...saludos, excelente Chef Arturo!!! https://es.m.wikipedia.org/wiki/Nachos#:~:text=La%20historia%20cuenta%20que%20en,lo%20poco%20que%20ten%C3%ADa%20disponible",Lifestyle_(sociology) Food 
"Grande Arturo, te mereces lo mejor, se me hizo agua la boca al ver esos platillos,  saludos desde Nicaragua, viva España y viva México y sus platillos tan deliciosos",Lifestyle_(sociology) Food 
"Los nachos NO están en tela de juicio, son mexicanos, son del estado de Coahuila :/, haha los del centro y sur que no han viajado al norte te dirán que los burritos y nachos son tex-mex no por querer mentir, solo que justo no conocen y al ser estados fronterizos creen que todo es ""gringo""... todo mundo sabe del pastor o cochinita, pero demeritan y no le han dado la importancia que merece a la comida del norte, que es excelente.

Por cierto, los nachos no se hacen con totopos, haha pero bueno, sino con nachos, los redondos, pero bueno, se veían muy buenos.",Lifestyle_(sociology) Food 
"Un gustazo saber que hay un embajador de la gastronomía mexicana mas representadonos en España. Saludos desde Baja California México, una de los epicentros de la cocina actual mexicana.",Lifestyle_(sociology) Food 
